ID;Applies To;Country;Date Start;Date end intended;Description of measure implemented;Exceptions;Implementing City/Municipality;Implementing State/Province;Keywords;Quantity;Source;Target city;Target country;Target region;Target state
;;United States;28/03/2020;;all persons in Alaska, except for those engaged in essential health care services, public government services, and essential business activities, are mandated to remain at their place of residence and practice social distancing;;;Alaska;blanket curfew - no symptoms;;https://gov.alaska.gov/newsroom/2020/03/27/governor-issues-covid-19-health-mandates-on-social-distancing-limiting-intrastate-travel-2/;;;;
;;United States;28/03/2020;;Self-quarantines for persons who test positive or are symptomatic are not enforced due to a lack of resources. Several New York City area nurses have expressed concerns that patients are not complying with self-quarantine guidelines due to financial necessity or fear of losing their job;;;New York;low compliance;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_York_(state)#Government_response;;;;
;;United States;28/03/2020;;Governor Tom Wolf issued a stay-at-home order for Beaver, Butler, Westmoreland, Centre, and Washington Counties;;Beaver County, Bucks County, Centre County, Westmoreland County;Pennsylvania;blanket curfew - no symptoms, social distancing;2;;;;;
;;Finland;28/03/2020;;On 27 March the Parliament voted unanimously to close the borders of the Uusimaa region, which has the most confirmed cases, in hopes of slowing down the epidemic in the rest of the country. The restriction came into force the following midnight. Uusimaa has 1.7 million inhabitants, nearly one third of Finland's total population, and contains the capital city Helsinki. Travel to and from Uusimaa is prohibited without a valid reason and several hundred police officers are enforcing the restriction with the assistance of the Finnish Defence Forces.;;;Uusimaa region;blanket curfew - no symptoms;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Finland;;;;
;;Japan;28/03/2020;;Avoid to go normal medical centre if you feel asymptomatic- instead please visit local returnee and contact outpatient medical centre for testing. Please wear mask and follow handwash and coughing etiquettes when visiting any medical facilities. ;;;;clinic specialisation, handwashing encouragement, public mask encouragement;;https://www.cas.go.jp/jp/influenza/novel_coronavirus.html;;;;
;;Hong Kong;27/03/2020;;Two medical staff had to be placed in quarantine after a patient they had attended, a 22-year-old policewoman  subsequently tested positive for the new coronavirus and refused to wear face mask.;;;;compulsory isolation, contact isolation - no symptoms;;https://news.rthk.hk/rthk/en/component/k2/1517262-20200327.htm;;;;
;;Hong Kong;27/03/2020;12/04/2020;"The ban on more than four people getting together in public places will apply both indoors and outdoors for two weeks from Sunday, with offenders liable to a fine of up to HK$25,000 and six months in prison.
Restaurants are being ordered to slash the maximum number of customers they can host at any one time by 50 percent, with a cap of four people at each table, and with tables placed at least 1.5 metres apart from each other.
Cinemas, gyms, amusement game centres and other entertainment venues are being told to close from 6pm on Saturday.";;;;indoor person density, limited nonessential business suspension, outdoor gatherings banned, restaurant limitations, social distancing advice;;https://news.rthk.hk/rthk/en/component/k2/1517200-20200327.htm;;;;
;;Malaysia;27/03/2020;;if a large cluster was detected within the area then for 14 days all residents and visitors forbidden from exiting their homes, non-residents and visitors outside the area cannot enter into the area, all businesses are shut down;;;;cluster isolation - no symptoms;1;https://en.wikipedia.org/wiki/2020_Malaysia_movement_control_order;;;;
;;United States;27/03/2020;;"Seattle Mayor Jenny Durkan announced that the United States Army Corps of Engineers and Federal Emergency Management Agency agreed to deploy a military field hospital at CenturyLink Field. The field hospital was expected to create at least 150 hospital beds for non-COVID-19 patients;";;;Washington;hospital construction;;;;;;
;;United States;27/03/2020;;Governor Herbert issued a directive for Utahns to voluntarily begin staying at home;;;Utah;voluntary isolation;;;;;;
