ID;Applies To;Country;Date Start;Date end intended;Description of measure implemented;Exceptions;Implementing City/Municipality;Implementing State/Province;Keywords;Quantity;Source;Target city;Target country;Target region;Target state
661;;Hong Kong;28/02/2020;;"HK gov issued a Red Outbound Travel Alert (OTA) on the Emilia-Romagna, Lombardy and Veneto regions in Italy. 
The Government had issued a Red OTA on Iran on January 10, 2020 due to safety concerns. In view of the persistent and rapid increase in the number of COVID-19 cases in the past few days, the Government alerted the public about the outbreak of COVID-19 cases and associated public health risk in Iran under the existing Red OTA. The existing Red OTA remains in force.
After returning to Hong Kong, consult a doctor promptly if experiencing a fever or other symptoms, take the initiative to inform the doctor of any recent travel history and any exposure to animals, and wear a surgical mask to help prevent spread of the disease until 14 days after returning to Hong Kong.";;;;encouraging symptomatic people to seek tests, international traveller screening - risk countries, public mask encouragement;;https://www.info.gov.hk/gia/general/202002/28/P2020022800789.htm;;Iran, Italy;Emilia-Romagna, Lombardy, Veneto;
;;United States;28/02/2020;;"recommended individuals protect themselves from COVID-19 by getting a flu shot and ""other normal precautions";;;Alabama;general advice;1;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Alabama;;;;
;;Japan;28/02/2020;;Japanese government Internet TV- released video of handwashing instruction ;;;;coronavirus education activities, handwashing encouragement;;;;;;
;;Japan;28/02/2020;;Japanese government Internet TV- released videos of safety measures for containing COVID-19 * contains multiple source URLs. ;;;;coronavirus education activities;;https://nettv.gov-online.go.jp/prg/prg20290.html, https://nettv.gov-online.go.jp/prg/prg20320.html,  https://nettv.gov-online.go.jp/prg/prg20357.html ,   https://nettv.gov-online.go.jp/prg/prg20410.html, https://nettv.gov-online.go.jp/prg/prg20434.html;;;;
;;Japan;28/02/2020;;Japan government Internet TV- released video of how to properly wear a mask ;;;;coronavirus education activities, public mask encouragement;;https://nettv.gov-online.go.jp/prg/prg20344.html;;;;
;;Russia;28/02/2020;;Russia sends out mobile sanitary brigades to help separatist Abkhazia deal with the virus, as Sokhumi refuses to collaborate with Tbilisi on the outbreak.;;;;international aid;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Georgia_(country);;;;
332;;Iceland;28/02/2020;;"On 28 February, Iceland confirmed the first case of COVID-19, an Icelandic male in his forties, who had been on a ski trip to Andalo in Northern Italy and returned home on 22 February; when he developed symptoms after his arrival, he was quarantined at Landspítali hospital in Reykjavík.[1][2] Subsequently, The National Commission of the Icelandic Police declared an Alert Phase.[3]";;;;case reporting, first case;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Iceland;;;;
348;;Lithuania;28/02/2020;;On 28 February, Lithuania confirmed the first case of COVID-19, a 39-year-old woman who arrived to Kaunas from Verona, Italy after business trip. She was then hospitalised in Šiauliai.;;;;case reporting, first case;;https://translate.google.com/translate?sl=auto&tl=en&u=https%3A%2F%2Fwww.15min.lt%2Fnaujiena%2Faktualu%2Flietuva%2Fkoronavirusas-pasieke-lietuva-uzfiksuotas-pirmasis-atvejis-56-1282110;;;;
738;;Italy;28/02/2020;;On 28 February, during an interview with Rai News24, Professor Massimo Galli from the Luigi Sacco Hospital in Milan suggested that the majority of newly recorded cases were pre-existing cases that were finally detected during the extensive tests performed on people (and their relatives) who had come in contact with confirmed patients. The rapid increase of positive cases was the result of the blanket testing approach that was deployed following the first confirmed case in Codogno.;;;;test contacts;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy;;;;
;"note that it is not oficially cancelled by government, just recommended + ther is not specified how mayn people is considered to ""big event"" have";Germany;28/02/2020;;The crisis team is of the opinion that if these principles are applied, imminent major international events such as the ITB should be canceled.;;;;activity cancellation - other;;https://www.bundesgesundheitsministerium.de/presse/pressemitteilungen/2020/1-quartal/krisenstab-bmg-bmi.html;;;;
;Bavaria;Germany;28/02/2020;;Train railway companies must report passengers with symptoms to authorities and the federal police would step up checks within 30 kilometres of the border;;;;domestic traveller screening;;https://www.reuters.com/article/us-china-health-germany-idUSKCN20M34J;;;;
457;;Germany;28/02/2020;;passengers from China, South Korea, Japan, Italy and Iran to report their health status before entry. Train railway companies must report passengers with symptoms;;;;international traveller screening - risk countries;;https://www.reuters.com/article/us-china-health-germany-idUSKCN20M34J;;China, Iran, Italy, Japan, South Korea;;
430;;Switzerland;28/02/2020;;the Federal Council announced an immediate ban on all public and private events involving more than 1000 participants, as one of the efforts to curb the spread of COVID-19 infection. Further, events of 150 or more now need federal permission.;;;;outdoor gatherings banned;1000;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Switzerland;;;;
197;;France;28/02/2020;;the fashion designer agnès b. cancelled fashion shows in Paris Fashion Week which was scheduled to run until 3 March;;Paris;;event cancellation - other;;https://www.reuters.com/article/us-china-health-france-fashion-idUSKCN20M23F;;;;
200;;Belarus;28/02/2020;;On 28 February, Belarus confirmed its first case. A student from Iran tested positive on 27 February and was admitted to a hospital in Minsk.[1][2] The individual arrived in Belarus via a flight from Baku, Azerbaijan, on 22 February.[1][3];;;;case reporting, first case, traveller testing;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Belarus;;;;
181;;Azerbaijan;28/02/2020;;On 28 February, the country confirmed its first positive case of COVID-19. The patient, a Russian national, had traveled from Iran.[2]Two more cases were later confirmed in the country and they were all isolated. They were Azerbaijani nationals who returned from Iran.;;;;case reporting, first case, traveller testing;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Azerbaijan;;;;
182;;Azerbaijan;28/02/2020;13/03/2020;On the same day Azerbaijan closed borders with Iran for 2 weeks.[3];;;;international travel ban - risk countries;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Azerbaijan;;;;
449;;Romania;28/02/2020;;The Romanian Orthodox Church suggested that followers use their own spoons and avoid kissing icons in church.;;;;religious activity limitations;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Romania;;;;
582;;Russia;28/02/2020;;The Russian government temporarily barred Iranian citizens from entering Russia.;;;;international travel ban - risk countries;;https://www.themoscowtimes.com/2020/03/18/coronavirus-in-russia-the-latest-news-march-18-a69117;;Iran;;
651;;South Korea;27/02/2020;;All medical staffs must wear individual protection gear or full-bodie gear for examinations ;;;;medical staff protective equipment;;https://www.cdc.go.kr/board/board.es?mid=a20501000000&bid=0015&list_no=366607&act=view;;;;
649;;South Korea;27/02/2020;;all national, state and local authorities are conducting epidemiologic survey and disinfecting public spaces after briefing from Korean CDC (KCDC);;;;epidemic data, public hygiene;;https://www.cdc.go.kr/board/board.es?mid=a20501000000&bid=0015;;;;
416;;San Marino;27/02/2020;;confirmed first case, an 88-year-old man with pre-existing medical conditions, who came from Italy. He was hospitalised at a hospital in Rimini, Italy.;;;;case reporting, first case;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_San_Marino;;;;
;;Australia;27/02/2020;;On 27 February, Prime Minister Scott Morrison announced that the country was activating the Australian Health Sector Emergency Response Plan for Novel Coronavirus (COVID-19),;;;;special management arrangements;;https://web.archive.org/web/20200229140654/https://www.health.gov.au/news/health-alerts/novel-coronavirus-2019-ncov-health-alert;;;;
;;Georgia;27/02/2020;;Airline Wizz Air reduces its flight frequency to Italian destinations, including a full cancellation of flights to Milan.;;;;;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Georgia_(country);;Italy;;
;;Georgia;27/02/2020;;Turkish citizens who visited coronavirus-infected countries are banned from crossing the Georgian-Turkish border.;;;;international travel ban - risk countries;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Georgia_(country);;;;
285;;Estonia;27/02/2020;;On 27 February, Estonia confirmed the first COVID-19 case, an Iranian citizen felt ill on board a bus from Riga to Tallinn and called himself an ambulance from Tallinn bus station. He had originally departed from Iran, and flown from Turkey to Riga, spending at least 2.5 hours in Riga and using public transport.[6];;;;case reporting, first case;;https://news.err.ee/1057196/first-coronavirus-case-found-in-estonia;;;;
236;;Denmark;27/02/2020;;On 27 February 2020, Denmark confirmed its first case when a man from Roskilde tested positive for COVID-19 at Zealand University Hospital, Roskilde. He was an editor from TV 2 who had been skiing in Lombardy in Italy and returned to Denmark on 24 February. He had mild symptoms and was placed in home quarantine.;;;;case reporting, first case;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Denmark;;;;
;;Iraq;27/02/2020;;Cinemas closed;;;;limited nonessential business suspension;;;;;;
;;Iraq;27/02/2020;;Public gatherings banned.;;Baghdad;;outdoor gatherings banned;100;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Iraq#cite_note-16;;;;
;;Iraq;27/02/2020;;schools and universities closed.;;Baghdad;;school closure;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Iraq#cite_note-16;;;;
739;;Italy;27/02/2020;;he Ministry of Health announced new guidelines for reporting cases. It would no longer report asymptomatic cases (positive swabs taken from patients who were not showing symptoms), which had counted as 40 to 50% of all reported cases at the time. These people would undergo isolation at home and would be followed up with new tests until they were negative.;;;;case reporting, diagnostic criteria tightened;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy;;;;
477;;Czechia;27/02/2020;;On Thursday 27 February 2020, Minister of Health Adam Vojtěch convened a meeting of the Central Epidemiological Commission. It discussed current developments regarding coronavirus disease in Europe and the Czech Republic's readiness for a possible spread of the disease to its territory. At the end of the meeting, the Minister called on the state administration authorities to elaborate without delay the Type Plan, which is designed for emergency situations.;;;;public announcement, special management arrangements;;https://koronavirus.mzcr.cz/vyvoj-udalosti-v-case/;;;;
241;;Estonia;27/02/2020;;On 27 February, Estonia confirmed the first COVID-19 case, an Iranian citizen felt ill on board a bus from Riga, Latvia to Tallinn and called himself an ambulance, the 34-year-old man tested positive. He had originally departed from Iran, and flown from Turkey to Riga.[1][6];;;;case reporting, first case;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Estonia;;;;
310;;Netherlands;27/02/2020;;the first confirmed case of COVID-19, a man who had been in the Lombardy region of Italy was admitted to Elisabeth-TweeSteden Hospital in Tilburg.[6][7];;;;case reporting, first case;;https://www.rivm.nl/node/152811;;;;
355;;United Kingdom;26/02/2020;;Britons returning from northern Italy told to self-isolate;;;;international traveller quarantine - risk countries;;https://www.gov.uk/guidance/coronavirus-covid-19-information-for-the-public#advice-for-travellers;;;;
647;;South Korea;26/02/2020;;Limit all church activities and self-isolate first if you exhibit any slight symptom and contact the hospital ;;;Daegu, Gyeongbook Province;confirmed case isolation, religious activity cancellation, symptom isolation;;https://www.cdc.go.kr/board/board.es?mid=a20501000000&bid=0015;;;;
;;Israel;26/02/2020;;Israel issued a travel warning to Italy and urged cancelling all travel abroad.;;;;outbound travel warning;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Israel;;;;
;;Georgia;26/02/2020;;Prime Minister Giorgi Gakharia sets up an Inter-Agency Council for Coordination Against the Coronavirus (IACC), made of representatives of every major government agency, to manage the situation. The IACC's first decision is to ban flights to Iran.;;;;international travel ban - risk countries;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Georgia_(country);;Iran;;
343;;Macedonia;26/02/2020;;On 26 February, North Macedonia confirmed its first case, a woman who tested positive for SARS-CoV-2 in a Clinic for Infectious Diseases, in Skopje. She had stayed in Italy for a month and had been sick for two weeks. Upon returning to North Macedonia, she immediately reported to the clinic;;;;case reporting, first case;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_North_Macedonia#cite_note-13;;;;
261;;Georgia;26/02/2020;;On 26 February, Georgia confirmed its first COVID-19 case. A 50-year-old man, who returned to Georgia from Iran, was admitted to Infectious Diseases Hospital in Tbilisi. He came back to the Georgian border via Azerbaijan by taxi.;;;;case reporting, first case;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Georgia_(country);;;;
303;;Greece;26/02/2020;;As of 26 February, the first case in Greece was confirmed. A 38-year-old woman from Thessaloniki, who had recently visited Milan, Νorthern Italy, tested positive and was admitted to the AHEPA University Hospital. Her family, as well as those who came into contact with her, voluntarily isolated themselves.;;;;case reporting, first case;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Greece;;;;
478;;Czechia;26/02/2020;;On Wednesday, February 26, 2020, given the current epidemiological situation, the Ministry of Health issued recommendations to travelers who have been in the Emilia-Romagna, Lombardy, Piedmont and Veneto regions since mid-January 2020 to monitor their health status in the next 14 days after leaving the region. focusing on symptoms of incipient respiratory disease (especially fever above 38 ° C, respiratory problems).;;;;international traveller screening - risk countries;;https://koronavirus.mzcr.cz/vyvoj-udalosti-v-case/;;;;
;;Singapore;26/02/2020;;Citizens returning from Daegu and Cheongdo (South Korea) issued 14-day SHN;;;;international traveller quarantine - risk countries;;;;;;
;;Singapore;26/02/2020;;Visitors from Daegu and Cheongdo (South Korea) banned;;;;international travel ban - risk countries;;;;;;
728;The University of Basilicata;Italy;26/02/2020;;The University of Basilicata installed a thermal scanner and continued all teaching activities as per normal.;;;;public facility temperature screening;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy;;;;
727;;Italy;26/02/2020;29/03/2020;Palermo and Naples closed all schools until 29 February;;Naples, Palermo;;school closure;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy;;;;
732;;Italy;26/02/2020;;On 27 February, Taranto, Apulia closed all schools until 29 February.;;Taranto;;school closure;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy;;;;
729;;Italy;26/02/2020;;The University of Bari suspended all medical- and health-related internships for medical and healthcare students.;;;;activity cancellation - other;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy;;;;
734;;Italy;26/02/2020;29/02/2020;D'Annunzio University suspended all activities until 29 February.;;;;activity cancellation - other;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy;;;;
733;;Italy;26/02/2020;;Multiple schools were closed in Roseto degli Abruzzi;;;;school closure;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy;;;Roseto degli Abruzzi;
730;Politecnico di Milano;Italy;26/02/2020;;Politecnico di Milano conducted thesis mentoring for more than one thousand students graduating the following week using Skype.;;;;remote schooling - limited;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy;;;;
735;;Italy;26/02/2020;;Cartoocomics Fair in Milan was rescheduled to 2 to 4 October. The Winter Rescue Race in Piedmont was cancelled.;;;;event cancellation - other;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy;;;;
725;;Italy;26/02/2020;;On 26 February, Director of the Italian National Institute of Health Franco Locatelli announced that swabbing would only be performed on symptomatic patients, as 95% of the swabs previously tested were negative;;;;test symptomatic;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy;;;;
731;;Italy;26/02/2020;;The Italian Winter Sports Federation decided to proceed with the Women's World Cup alpine skiing races at La Thuile, Aosta Valley on 29 February. The MIDO Milan Eyewear Show was rescheduled to 5 to 7 July.;;;;event cancellation - other;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy;;;;
451;;Romania;26/02/2020;;The Minister of Education and Research enforced the schools to spread awareness about coronavirus.;;;;coronavirus education activities;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Romania;;;;
439;;Norway;26/02/2020;;On 26 February, Norway confirmed the first case of COVID-19. The Norwegian Institute of Public Health announced that someone tested positive for SARS-CoV-2 after returning from China the previous week. The female patient was asymptomatic and in good health. She underwent a voluntary isolation at her home in Tromsø;;;;case reporting, first case;;https://www.thelocal.no/20200226/breaking-norway-announces-first-case-of-coronavirus;;;;
587;;Romania;26/02/2020;;First case in Romania.;;;;first case;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Romania;;;;
123;;China;26/02/2020;;Yantai, Shandong will now test all persons entering China from the city for SARS-CoV-2 for free.;;Yantai;Shandong;domestic traveller screening, test travellers;;https://www.jiemian.com/article/4032138.html;;;;
646;;South Korea;25/02/2020;;Strictly maintain hand-wash and cough etiquette and maintain social distance within family, use separate towel and cutleries;;;;hygiene enforcement, individual hygiene, social distancing;;https://www.cdc.go.kr/board/board.es?mid=a20501000000&bid=0015;;;;
644;;South Korea;25/02/2020;;Limit outdoor activity and interstate visit and follow self-isolation protocols ;;;Daegu, Gyeongbook Province;social distancing;;https://www.cdc.go.kr/board/board.es?mid=a20501000000&bid=0015;;;;
641;;South Korea;25/02/2020;;Asiade Age care facility in Busan- cohort isolation after one social worker resulted positive ;;;Busan;cohort isolation - no symptoms;;https://www.cdc.go.kr/board/board.es?mid=a20501000000&bid=0015;;;;
674;;Hong Kong;25/02/2020;20/04/2020;Class suspension of all schools will be extended to the end of schools' Easter holidays, that is, schools would resume classes on April 20 the earliest. However, the exact date of class resumption is subject to further assessment.;;;;school closure;;https://www.info.gov.hk/gia/general/202001/25/P2020012500583.htm;;;;
;;Brazil;25/02/2020;;On 25 February, the Health Department of São Paulo reported the first case of COVID-19 in Brazil – and in South America. It was a 61-year-old man from São Paulo, São Paulo who travelled through Lombardy, Italy between 9 and 21 February. He tested positive for SARS-CoV-2 at Albert Einstein Israelite Hospital, which was also confirmed by the Adolfo Lutz Institute. The patient was showing mild symptoms and had been quarantined at home.;;;;first case;;https://g1.globo.com/sp/sao-paulo/noticia/2020/02/25/ministerio-da-saude-investiga-possivel-paciente-com-coronavirus-em-sp-caso-foi-para-contraprova.ghtml;;;;
712;;Italy;25/02/2020;;Generali Tower in Milan and Palazzo Madama in Rome installed thermal scanners to measure temperatures of visitors and employees. FAO headquarters in Rome conducted temperature checks on visitors entering the building;;;;public facility temperature screening;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy;;;;
429;;Switzerland;25/02/2020;;first case of COVID-19 was confirmed. A 70-year-old man in the Italian-speaking canton of Ticino which borders Italy, tested positive for SARS-CoV-2. The man had previously visited Milan.;;;;case reporting, first case;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Switzerland;;;;
857;;Denmark;25/02/2020;;Initially, all testing of samples for SARS-CoV-2 was performed at the Statens Serum Institut, but on 25 February (before the first confirmed case in the country) this was expanded to all the hospitals that also had sections that were ready for treating serious cases of COVID-19.[47] In early March, other hospitals started to perform the tests.;;;;testing, testing planned;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Denmark;;;;
765;;Albania;25/02/2020;;Brataj also announced the formation of a task force, while asserting that COVI-19 had not yet arrived in Albania. He specified that citizens coming from affected areas will be monitored for 14 days and treated as suspected cases, and treated with vitamins.;;;;public announcement;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Albania;;;;
763;;Albania;25/02/2020;;On 25 February, Skender Brataj, head of the National Medical Emergency Center (NMEC), announced protocols in case COVID-19 spread to Albania, explaining that citizens that suspect they have contracted the virus should call the designated National Emergency Number 127. He instructed all Albanian citizens arriving from China, Singapore, Iran, South Korea or Italy, to call the same number, so that a medical group with protective suits can escort them to an infections hospital for testing, with all samples sent to the Public Health Institute;;;;public announcement;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Albania;;;;
764;;Albania;25/02/2020;;On the same day, the Department of Health and Social Protection meet with the Technical Expert Committee, and decided to increase its hospital budget by $1 million, to increase the stock of personal protection equipment.;;;;financial incentive;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Albania;;;;
719;;Italy;25/02/2020;;The number of checkpoints in the Red Zones was increased from 15 to 35, and army personnel were sent to help staff the checkpoints.;;;;domestic travel limitation;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy;;;;
723;;Italy;25/02/2020;;Multiple fairs and exhibitions were rescheduled. Salone del Mobile, a furniture fair in Milan, was postponed to 16 to 21 June. Bologna Children's Book Fair was rescheduled to 4 to 7 May. Cosmoprof Worldwide Bologna, a cosmetic fair, was rescheduled to 11 to 15 June.Expocasa, a furniture fair in Turin, was rescheduled initially to 28 March to 5 April but later to future date to be announced later. Roma Motodays was postponed to 17 to 19 April.;;;;event cancellation - other;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy;;;;
759;;Austria;25/02/2020;;On 25 February 2020, Austria confirmed the first two cases of COVID-19, a 24-year-old man and a 24-year-old woman from Lombardy, Italy tested positive and were treated at a hospital in Innsbruck, Tyrol.;;;;case reporting, first case;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Austria;;;;
721;;Italy;25/02/2020;09/03/2020;Istituto Tecnico Economico Enrico Tosi in Varese, Istituto Comprensivo di Pianoro in Bologna and Liceo Attilio Bertolucci in Parma conducted lessons for students online while waiting for the schools to reopen.[210][211][212] The University of Palermo suspended all activities until 9 March.;;;;remote schooling;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy;;;;
724;;Italy;25/02/2020;;Italy opened a probe into skyrocketing online prices for masks and sanitising gels. Police issued warnings that criminals were using false identities and posing as health inspectors to gain access to people's homes to steal money, jewellery and other valuables.;;;;price gouging ban;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy;;;;
722;Morgan Stanley, Barclays, Mediobanca and UniCredit ;Italy;25/02/2020;;Morgan Stanley, Barclays, Mediobanca and UniCredit requested their Milan staff to work from home;;;;remote work - limited;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy;;;;
720;;Italy;25/02/2020;;The Italian Basketball Federation suspended all of its championship games, including Lega Basket Serie A.;;;;sports cancellation;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy;;;;
717;US service members and their families.;United States;25/02/2020;;General Tod D. Walters issued a travel ban covering the areas of Italy affected by the outbreak for US service members and their families.;;;;international travel ban - risk countries;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy;;;;
718;Driver's license exams;Italy;25/02/2020;;Driver's license exams were suspended in Lombardy and Veneto.;;;;activity cancellation - other;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy;;;Lombardy, Veneto;
716;;Italy;25/02/2020;;On 25 February, USAF Aviano Air Base closed all schools until 28 February;;;;school closure - limited;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy;;;;
479;;Czechia;25/02/2020;;On Tuesday, February 25, 2020, the enlarged Bureau of the State Security Council held a meeting that did not recommend travel to Lombardy and Veneto in Italy due to coronavirus. People should consider whether to go abroad at all.;;;;outbound travel warning;;https://koronavirus.mzcr.cz/vyvoj-udalosti-v-case/;;;Lombardy, Veneto;
234;;Croatia;25/02/2020;;On 25 February, Croatia confirmed its first case, a 26-year-old man who had been in Milan, Italy.;;;;case reporting, first case;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Croatia;;;;
213;;Belgium;25/02/2020;;"On 25 February Belgian federal minister of health Maggie De Block asserted that ""Belgium was prepared"" for the possible arrival of cases of infection with severe acute respiratory syndrome coronavirus 2.[25]";;;;public announcement;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Belgium;;;;
122;;China;25/02/2020;;Beijing required foreign travellers arriving from areas affected by COVID-19 to be quarantined for 14 days.;;Beijing;;compulsory isolation, international traveller quarantine - risk countries;;https://www.channelnewsasia.com/news/asia/beijing-orders-quarantine-for-foreign-arrivals-from-virus-hit-areas-12473012;;Japan, South Korea;;
119;;China;25/02/2020;;In response the epidemic situation in South Korea and an apparent significant surge of demand for flight tickets from South Korea to Shandong cities, Qingdao will now quarantine all persons entering with a travel history of areas with the epidemic,[692] Weihai will now quarantine all persons entering from Japan and South Korea for 14 days,[693] Shenyang will now test the temperature of all passengers entering from the city,[694] and Dalian will now include all foreigners into its epidemic control mechanism.;;Dalian, Qingdao, Shenyang, Weihai;Liaoning, Shandong;compulsory isolation, international traveller quarantine - risk countries;;http://www.takungpao.com/news/232108/2020/0225/419743.html;;Japan, South Korea;;
120;;China;25/02/2020;;Guangzhou will now test all inpatients for SARS-CoV-19.;;;Guangzhou;test inpatients, test vulnerable, testing criteria loosened;;https://www.jiemian.com/article/4029191.html;;;;
637;;South Korea;24/02/2020;;Declared Daegu and Gyeongbook as Special Management region for Infectious Disease ;;;Daegu, Gyeongbook Province;public announcement, special management arrangements;;https://www.cdc.go.kr/board/board.es?mid=a20501000000&bid=0015;;;;
662;;Hong Kong;24/02/2020;;"HK gov (February 24) issued a Red Outbound Travel Alert (OTA) on the country.
After returning to Hong Kong, consult a doctor promptly if experiencing a fever or other symptoms, take the initiative to inform the doctor of any recent travel history and any exposure to animals, and wear a surgical mask to help prevent spread of the disease until 14 days after returning to Hong Kong.";;;;encouraging symptomatic people to seek tests, international traveller screening - risk countries, outbound travel warning, public mask encouragement;;https://www.info.gov.hk/gia/general/202002/24/P2020022400639.htm;;South Korea;;
706;;Italy;24/02/2020;;Additional toll-free numbers were added for other regions — Valle D'Aosta 800122121, Trentino Alto Adige 800751751, Friuli Venezia Giulia 800500300, Toscana 800556060, Umbria 800636363, Marche 800936677 and Lazio 800118800;;;Friuli Venezia Giulia, Lazio, Marche, Toscana, Trentino Alto-Adige, Umbria, Valle D'Aosta;phone line;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy;;;;
705;;Italy;24/02/2020;;On 24 February, 500 additional police officers were assigned to patrol the quarantined areas in Lodi and Veneto;;;Lombardy, Veneto;cluster isolation - no symptoms, compulsory isolation;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy;;;;
;;Georgia;24/02/2020;;Georgia warns its citizens visiting Italy, in particular northern parts of the country, to avoid public places and regularly wash their hands as Italy becomes the newest center of the epidemy.;;;;personal hygiene;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Georgia_(country);;Italy;;
;;China;24/02/2020;;This estimate is an approximation and is mentioned in page 9 of the report. No exact date for the testing period is provided.;;;Guangdong;testing numbers total;320000;https://ourworldindata.org/coronavirus-testing-source-data;;;;
;;Nepal;24/02/2020;;"A 31-year-old student of Wuhan University who had returned home on 5 January,was admitted with mild symptoms on 13 January and discharged on 17 January with instructions to self-quarantine at home after preliminary tests showed he may not be infected. Although Nepal had the laboratories and the skilled manpower to test for the disease, Nepal did not have the reagents required. The reagents cost around Rs 17,000 per test and need to be bought in bulk, sufficient for about 200 tests. As there were no other suspected cases needing testing, the officials decided to send the samples to Hong Kong instead of buying the reagents. The samples were sent to Hong Kong on 21 January. On 24 January, the Health ministry confirmed that the test had come back positive. The ministry said the patient was under surveillance, those who came into close contact with him were being investigated, and health information on all passengers returning from China was being sought. However, The Kathmandu Post quoted officials at the Epidemiology and Disease Control Disease as saying that no one knew of the patient's activity since he was discharged and that they were looking for him. Later, they said that they had only spoken to the patient on phone; he had reported being in good health and was not asked to come in for check-up or monitoring. The patient was confirmed completely treated when RT-PCR throat swabs returned negative for COVID-19 in followup assessments of 29 and 31 January. None of the people known to have come in contact with the patient showed any symptoms after three weeks of the patient's return to Nepal, and it was therefore presumed that he had not transmitted the disease to anyone else in Nepal.";;;;case reporting, first case;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Nepal;;;;
;;Afghanistan;24/02/2020;;On 24 February, Afghanistan confirmed the first COVID-19 case.;;;;first case;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Afghanistan;;;;
;;Nepal;24/02/2020;;"By the end of February, the health desk at Tribhuvan International Airport was screening passengers from China, South Korea, Thailand, Singapore, Malaysia, Japan and Saudi Arabia, but did not have sufficient manpower and equipment to screen all new arrivals. A total of six infrared scanners had been setup; the only thermal scanner had yet to be repaired, but plans were underway to purchase three more.";;;;international traveller screening - risk countries;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Nepal;;China, Japan, Malaysia, Saudi Arabia, Singapore, South Korea, Thailand;;
